Crop,pH,Temp,Rain,Humidity,Nitrogen,Phosphorus,Potassium,Oxygen
quince,6,21,714,57,60,43,101,21
quince,5,23,691,54,98,42,97,20
quince,5,16,749,65,80,32,107,18
quince,5,22,694,53,64,37,92,19
quince,6,20,676,57,89,46,82,18
quince,6,17,602,67,83,39,95,18
quince,6,21,717,57,87,39,95,19
quince,6,22,691,57,96,33,93,18
quince,5,16,624,66,89,50,104,19
quince,6,18,747,52,90,32,117,19
quince,5,19,643,64,76,33,96,21
quince,5,20,687,56,100,31,109,18
quince,5,24,619,65,93,45,103,19
quince,6,25,700,50,76,44,109,19
quince,6,17,605,55,80,30,108,18
quince,5,15,687,56,96,50,115,18
quince,6,16,666,50,80,45,90,20
quince,6,17,773,65,68,31,102,18
quince,5,24,794,57,68,50,81,19
quince,6,18,747,67,62,38,115,20
quince,6,21,726,62,68,39,105,19
quince,6,20,690,63,92,48,89,21
quince,5,15,612,54,74,37,98,21
quince,5,25,702,53,82,35,115,20
quince,5,23,792,67,82,42,91,19
quince,6,16,717,57,64,42,84,21
quince,6,22,619,58,85,39,86,20
quince,5,15,734,54,79,42,88,21
quince,5,15,671,52,67,32,113,18
quince,5,19,633,70,67,40,108,21
quince,5,22,787,68,70,32,100,21
quince,6,20,755,56,95,33,94,20
quince,5,23,627,57,75,31,109,21
quince,5,24,627,69,64,36,102,18
quince,5,17,687,54,84,33,100,21
quince,5,18,715,51,81,31,110,18
quince,5,20,737,56,68,39,109,21
quince,5,22,643,56,99,39,98,21
quince,5,19,732,58,94,48,101,21
quince,5,15,743,64,67,37,93,20
quince,5,25,759,54,95,46,84,19
quince,6,18,722,69,65,42,100,18
quince,6,21,736,50,88,41,92,18
quince,6,25,621,66,82,47,112,21
quince,6,25,648,70,75,34,95,21
quince,5,20,703,69,84,42,111,18
quince,5,20,779,60,72,49,82,19
quince,6,15,710,59,76,49,103,20
quince,6,22,621,63,94,36,89,18
quince,6,25,681,50,94,38,108,19
quince,5,19,799,62,100,42,111,21
quince,5,17,670,56,98,37,103,19
quince,6,18,706,60,99,41,100,19
quince,6,15,614,59,97,41,109,18
quince,5,16,727,55,82,31,92,18
quince,5,19,718,67,68,40,94,21
quince,6,18,631,57,98,40,93,21
quince,5,24,607,63,66,40,107,20
quince,5,24,726,56,88,32,107,21
quince,5,19,786,60,79,33,104,20
quince,6,16,677,63,82,43,88,21
quince,5,15,707,66,78,39,117,20
quince,5,24,705,51,76,45,117,19
quince,5,25,704,67,92,49,97,20
quince,6,23,766,55,73,49,114,18
quince,6,20,605,53,77,48,84,19
quince,6,25,736,59,96,39,101,21
quince,6,18,676,68,67,41,110,18
quince,5,22,776,58,85,40,96,21
quince,5,19,784,57,79,45,115,21
quince,5,22,619,65,96,47,102,19
quince,5,22,639,56,87,30,116,18
quince,5,18,739,64,61,30,116,18
quince,5,21,678,50,62,45,118,21
quince,5,23,638,59,60,39,98,20
quince,5,18,667,64,72,48,84,18
quince,6,23,691,58,76,39,89,18
quince,6,20,759,54,96,47,103,18
quince,6,22,612,64,94,37,115,21
quince,6,25,654,60,73,39,93,19
quince,5,25,696,61,98,41,119,20
quince,5,25,711,65,89,48,96,19
quince,5,21,742,66,91,32,81,20
quince,5,21,652,54,86,32,100,19
quince,6,19,768,60,90,37,108,18
quince,5,25,790,63,74,34,110,20
quince,5,15,763,69,66,37,110,20
quince,5,20,725,68,86,40,94,20
quince,6,16,657,54,83,33,120,20
quince,5,21,775,54,84,33,115,18
quince,5,17,718,54,67,47,104,20
quince,6,24,716,63,78,40,110,18
quince,6,23,645,64,68,38,107,18
quince,5,17,753,59,87,44,92,19
quince,5,19,752,66,64,44,92,19
quince,6,23,696,62,76,50,91,21
quince,6,25,674,60,79,38,102,20
quince,6,25,657,54,63,32,89,19
quince,6,21,751,51,98,31,84,20
quince,5,19,741,62,87,40,114,21
quince,6,23,737,67,74,46,92,19
quince,6,24,636,65,81,37,104,21
quince,6,22,619,66,69,34,87,21
quince,5,21,746,54,85,32,101,18
quince,5,22,789,53,73,41,116,18
quince,6,19,680,68,63,39,110,20
quince,6,22,792,59,81,36,88,21
quince,5,15,777,54,74,50,90,18
quince,6,23,776,69,72,35,109,19
quince,6,24,738,62,72,30,100,19
quince,6,18,755,65,97,40,93,20
quince,5,15,649,58,90,35,94,18
quince,6,15,769,64,74,33,91,19
quince,6,18,644,58,64,38,103,21
quince,5,25,618,67,84,50,102,19
quince,5,19,800,52,67,47,92,20
quince,5,24,619,65,83,37,104,19
quince,5,21,624,54,80,49,118,20
quince,6,19,671,70,86,40,94,19
quince,6,20,686,64,97,40,88,21
quince,6,21,643,54,78,42,97,20
quince,6,21,664,64,76,44,112,18
quince,5,17,787,64,95,47,112,21
quince,6,19,728,67,69,42,88,19
quince,5,24,683,52,83,33,96,21
quince,5,19,634,65,74,46,114,21
quince,5,20,745,62,70,50,81,19
quince,6,25,731,60,68,40,110,19
quince,6,22,623,66,80,30,117,20
quince,6,23,695,51,89,32,98,20
quince,6,25,752,69,100,50,89,20
quince,6,15,605,55,63,42,108,20
quince,5,16,705,50,97,35,98,19
quince,5,20,681,59,89,48,106,20
quince,5,25,717,64,61,34,104,19
quince,5,16,700,66,91,35,114,19
quince,6,16,667,70,82,50,90,18
quince,5,25,692,56,84,34,93,19
quince,5,17,686,62,89,46,94,18
quince,6,16,634,62,94,32,87,21
quince,6,15,763,57,74,46,115,20
quince,6,19,600,51,97,48,100,20
quince,6,19,613,56,66,35,83,18
quince,5,19,760,64,73,41,120,19
quince,5,25,724,70,75,48,93,19
quince,5,25,703,65,69,43,101,19
quince,5,24,668,58,98,31,98,20
quince,5,23,676,68,62,40,102,18
quince,5,19,699,69,61,32,118,18
quince,5,18,659,60,88,38,118,21
quince,6,20,770,57,94,47,99,18
quince,5,16,777,50,90,47,94,18
quince,6,20,631,70,70,30,86,19
quince,6,20,790,51,81,43,117,19
quince,6,16,797,54,95,47,104,20
quince,6,23,628,59,89,41,119,20
quince,6,19,768,69,65,50,88,19
quince,5,19,605,69,81,48,82,19
quince,6,18,773,51,76,41,114,20
quince,5,17,643,58,79,50,86,21
quince,6,19,665,51,94,30,88,21
quince,5,17,743,51,83,49,119,19
quince,6,20,661,50,80,32,87,19
quince,6,18,633,51,68,38,92,20
quince,6,16,793,64,85,37,98,19
quince,5,20,682,50,88,49,111,18
quince,5,22,728,53,100,32,84,20
quince,6,25,775,60,65,35,96,21
quince,6,25,727,65,81,44,109,18
quince,6,15,744,69,65,44,96,19
quince,5,21,772,54,70,37,90,18
quince,5,20,736,53,77,36,80,20
quince,5,15,766,50,97,42,105,18
quince,5,15,636,52,62,37,90,20
quince,6,17,796,55,88,44,94,18
quince,5,24,607,64,91,43,91,21
quince,5,24,681,58,98,39,114,18
quince,6,25,728,61,76,34,109,18
quince,6,24,736,64,70,48,117,19
quince,6,22,694,65,99,44,108,20
quince,5,17,731,52,66,45,82,18
quince,6,24,724,54,91,43,120,21
quince,6,16,717,59,88,49,110,19
quince,5,21,795,65,95,45,115,21
quince,6,17,756,50,94,41,90,21
quince,6,21,735,69,71,50,90,18
quince,5,22,750,56,68,48,104,18
quince,6,23,775,70,68,45,102,18
quince,6,18,713,62,72,36,94,21
quince,6,18,698,68,81,43,118,20
quince,5,20,789,64,79,38,111,20
quince,6,16,628,58,71,39,86,21
quince,5,21,786,55,62,30,89,20
quince,6,18,800,56,81,32,96,20
quince,5,25,694,61,60,35,103,20
quince,5,25,738,58,98,38,89,19
quince,6,16,751,63,89,36,113,21
quince,6,15,702,69,69,32,107,19
quince,6,25,611,55,71,42,117,21
quince,6,18,714,60,74,46,110,18
quince,5,17,732,60,95,44,104,21
quince,6,18,691,57,82,34,80,20
quince,6,23,743,63,66,50,86,19
quince,5,19,780,57,63,37,110,18
quince,6,24,645,50,90,49,93,21
quince,6,21,710,58,62,34,90,21
quince,6,19,699,61,90,36,96,21
quince,5,18,729,50,66,32,96,20
quince,5,20,797,67,64,45,93,19
quince,6,24,651,63,60,35,80,18
quince,6,16,619,53,88,36,82,21
quince,6,15,763,59,97,31,88,21
quince,5,25,650,65,75,49,87,19
quince,5,18,655,58,68,40,107,18
quince,5,22,766,51,68,46,88,21
quince,6,21,648,59,71,30,104,20
quince,5,23,698,67,96,37,84,19
quince,5,17,673,63,91,42,100,19
quince,5,15,775,51,87,42,104,21
quince,6,21,731,58,79,30,106,20
quince,6,16,629,55,94,39,103,19
quince,5,22,795,65,90,49,80,21
quince,6,16,735,68,86,40,93,20
quince,6,17,794,62,67,43,118,19
quince,5,21,771,55,85,31,107,19
quince,6,18,752,67,64,40,109,21
quince,5,22,709,53,79,34,110,21
quince,5,24,735,62,88,31,88,18
quince,6,16,636,56,79,39,107,20
quince,6,23,679,63,90,32,98,20
quince,6,15,760,58,65,35,105,21
quince,5,22,747,64,85,44,102,18
quince,6,22,620,57,66,42,98,18
quince,5,22,644,55,65,39,116,20
quince,6,22,732,58,69,30,98,18
quince,5,23,748,60,92,45,99,20
quince,6,24,674,61,86,30,115,18
quince,6,18,713,65,94,49,92,20
quince,6,21,673,67,95,47,90,19
quince,5,20,781,62,90,33,94,19
quince,5,20,707,68,94,39,117,20
quince,6,17,770,56,79,40,99,21
quince,6,20,691,54,61,44,89,19
quince,6,18,603,68,87,37,107,18
quince,5,19,620,67,100,44,104,21
quince,6,19,654,66,63,50,102,18
quince,5,18,743,50,90,31,113,20
quince,6,22,685,64,96,46,107,18
quince,5,16,738,51,79,50,116,18
quince,5,25,744,50,68,31,102,21
quince,6,25,689,57,77,35,82,20
quince,6,20,633,67,64,50,84,18
quince,6,24,774,66,86,33,91,21
quince,6,21,710,66,70,45,88,20
quince,6,24,728,53,82,41,105,21
quince,5,17,712,58,97,50,105,18
quince,5,19,716,69,100,34,118,20
quince,5,17,671,68,78,37,81,21
quince,5,18,725,58,87,37,96,21
quince,5,17,669,58,78,43,116,18
quince,6,22,702,65,99,41,111,20
quince,6,15,677,55,88,40,104,18
quince,6,20,731,63,95,47,100,18
quince,6,22,778,64,89,47,90,18
quince,5,17,721,56,63,40,116,20
quince,5,20,729,70,77,38,115,21
quince,5,25,711,52,94,34,108,18
quince,5,17,780,56,96,33,80,19
quince,6,21,772,57,91,46,92,19
quince,5,19,694,53,96,43,100,18
quince,5,17,633,51,80,30,109,19
quince,5,17,623,69,81,39,114,19
quince,6,22,743,61,96,33,95,20
quince,6,15,739,51,94,40,99,21
quince,6,15,723,50,85,34,98,20
quince,5,16,714,66,91,32,104,21
quince,6,24,639,64,100,42,84,21
quince,6,22,655,55,79,39,106,21
quince,6,17,653,50,68,50,101,18
quince,6,22,737,63,76,38,85,18
quince,6,22,614,69,84,50,106,19
quince,5,21,677,64,92,49,94,21
quince,6,25,630,68,86,43,108,20
quince,6,22,662,70,96,47,109,18
quince,6,17,630,57,100,35,108,19
quince,6,18,628,64,82,48,91,18
quince,5,17,662,62,97,31,119,19
quince,6,23,600,51,87,49,85,19
quince,5,22,677,66,86,34,104,18
quince,5,23,719,54,75,42,85,19
quince,6,20,635,50,95,45,104,20
quince,6,16,774,70,79,45,93,18
quince,6,18,787,62,92,50,116,20
quince,5,22,717,64,97,46,93,20
quince,5,20,676,68,90,50,94,21
quince,6,19,626,56,98,39,80,21
quince,6,16,782,66,99,44,83,18
quince,6,15,650,65,76,48,117,19
quince,5,18,640,68,65,31,81,21
quince,6,19,688,52,84,35,80,20
quince,6,23,726,53,93,50,112,20
quince,5,24,631,52,64,35,116,19
quince,5,16,690,53,66,49,100,18
quince,5,25,760,53,69,46,117,20
quince,5,20,786,59,89,30,84,18
quince,5,17,765,61,84,48,89,19
quince,5,22,749,55,84,43,81,20
quince,5,17,634,56,63,43,95,19
quince,6,16,751,55,92,37,114,21
quince,6,16,708,51,81,40,120,20
quince,5,24,603,66,63,34,85,19
quince,5,19,668,62,60,44,95,21
quince,6,22,636,64,63,36,93,20
quince,6,24,706,70,78,37,86,21
quince,5,15,748,55,69,50,111,18
quince,6,21,636,59,93,33,97,19
quince,6,19,645,57,80,31,112,18
quince,6,20,718,61,65,30,97,19
quince,6,21,654,64,73,49,83,19
quince,6,23,778,52,98,45,111,21
quince,6,23,794,50,60,40,95,18
quince,6,17,713,61,80,36,89,21
quince,5,21,756,63,67,33,92,21
quince,5,21,609,60,95,38,92,19
quince,5,22,654,59,63,33,109,20
quince,6,20,739,53,80,34,117,19
quince,5,19,659,59,86,43,108,18
quince,6,18,745,67,80,31,108,18
quince,6,19,778,54,82,38,89,19
quince,5,18,706,65,92,39,104,20
quince,6,17,760,56,65,34,110,20
quince,6,16,655,54,94,34,117,21
quince,5,19,729,69,78,49,112,20
quince,6,23,731,60,69,30,82,18
quince,5,19,738,70,87,46,108,19
quince,5,17,606,61,100,42,111,18
quince,6,18,648,60,100,37,106,20
quince,5,20,724,70,89,41,100,19
quince,5,17,687,61,87,32,117,18
quince,6,24,761,61,85,35,112,20
quince,6,22,609,70,95,41,85,18
quince,6,18,672,51,77,39,100,18
quince,6,25,653,52,88,42,88,20
quince,5,15,603,58,62,35,98,21
quince,5,19,613,64,86,40,111,19
quince,6,18,722,70,71,50,114,20
quince,5,23,686,63,74,44,118,21
quince,6,18,678,68,62,31,112,20
quince,6,23,688,50,99,31,80,18
quince,6,15,620,65,80,30,113,20
quince,6,16,767,62,65,34,86,19
quince,5,19,741,58,62,45,101,19
quince,6,22,603,53,61,38,120,19
quince,5,25,795,62,60,33,112,21
quince,5,19,701,55,75,42,94,20
quince,6,19,619,52,88,32,83,20
quince,6,18,695,56,66,32,94,19
quince,6,15,682,69,78,36,83,19
quince,6,21,616,60,71,49,115,20
quince,6,22,789,59,67,34,116,19
quince,5,23,787,58,98,42,106,20
quince,5,18,703,57,97,36,92,20
quince,6,16,669,63,89,47,86,21
quince,5,20,669,53,62,50,104,20
quince,5,16,742,57,63,35,105,19
quince,6,18,643,67,93,49,84,21
quince,5,19,627,65,98,39,116,21
quince,5,22,672,62,63,38,113,21
quince,6,19,765,57,66,36,118,20
quince,6,19,618,66,83,34,83,21
quince,5,22,734,51,94,30,99,20
quince,6,25,770,59,78,43,110,19
quince,6,17,732,59,80,45,94,18
quince,6,23,659,51,100,33,115,18
quince,5,16,738,63,77,50,87,21
quince,6,20,616,70,63,38,120,20
quince,6,20,697,65,88,32,84,21
quince,6,15,681,52,87,34,101,18
quince,6,18,635,69,99,39,93,19
quince,5,20,700,67,73,46,101,21
quince,6,15,656,65,85,46,114,18
quince,5,24,778,67,77,30,84,19
quince,6,15,770,62,61,39,92,21
quince,5,20,741,55,78,35,100,20
quince,5,17,652,64,83,33,82,21
quince,6,22,608,60,73,50,93,21
quince,6,20,600,58,73,43,118,18
quince,6,21,756,69,63,37,114,18
quince,6,23,641,54,74,33,90,21
quince,6,15,784,53,61,42,93,18
quince,5,23,716,55,68,39,110,21
quince,6,24,712,57,83,46,119,19
quince,6,20,640,63,66,42,111,21
quince,5,24,634,67,72,31,93,18
quince,6,21,695,50,73,36,113,18
quince,6,20,637,51,95,31,103,20
quince,5,23,749,54,83,40,80,18
quince,6,15,718,64,69,36,120,19
quince,5,19,614,54,82,31,82,21
quince,6,15,645,69,66,45,110,21
quince,6,15,668,61,64,49,86,21
quince,6,17,675,60,83,48,105,20
quince,6,25,608,59,63,44,89,18
quince,5,24,652,66,66,39,90,19
quince,5,25,787,59,78,45,111,20
quince,5,15,705,50,62,39,83,21
quince,5,19,758,60,61,42,115,18
quince,5,18,623,67,72,47,112,21
quince,6,24,724,58,67,49,99,18
quince,6,24,791,60,100,37,99,21
quince,6,16,771,58,66,40,97,20
quince,6,25,672,50,95,39,117,18
quince,5,16,798,65,79,37,94,21
quince,6,17,660,52,84,32,113,18
quince,6,20,631,68,65,39,104,19
quince,6,20,789,57,79,35,87,19
quince,5,23,676,53,71,32,91,21
quince,5,17,682,68,66,45,83,21
quince,6,24,665,68,89,50,108,19
quince,6,16,769,68,81,30,95,20
quince,6,22,632,58,87,45,80,18
quince,6,19,791,61,94,33,101,19
quince,5,22,669,54,75,43,120,18
quince,5,17,643,50,71,38,106,18
quince,6,21,633,57,72,49,94,20
quince,5,24,704,57,64,50,120,18
quince,5,24,693,67,78,48,99,21
quince,6,18,782,54,73,32,85,19
quince,6,21,696,56,85,39,84,21
quince,5,19,625,60,71,47,94,18
quince,6,25,720,53,100,45,106,19
quince,6,23,637,59,63,42,82,18
quince,6,23,640,62,62,37,97,21
quince,6,19,741,62,98,38,112,18
quince,5,23,732,63,99,30,102,20
quince,6,18,742,64,84,50,95,19
quince,5,20,713,54,97,44,101,21
quince,6,19,785,68,75,41,88,21
quince,6,22,684,67,81,34,104,19
quince,6,18,747,57,92,37,119,18
quince,5,24,649,68,88,39,118,18
quince,6,17,607,68,70,33,82,20
quince,6,16,729,59,63,46,88,21
quince,5,19,605,54,64,44,102,18
quince,6,25,793,64,81,35,114,19
quince,6,18,632,60,95,47,116,18
quince,6,17,741,60,77,46,97,18
quince,5,22,615,70,84,35,83,19
quince,6,22,773,69,92,35,114,21
quince,6,18,726,68,97,41,118,19
quince,6,17,642,55,84,50,98,20
quince,5,25,701,52,95,38,103,21
quince,6,20,734,63,90,36,96,18
quince,5,15,614,58,75,45,120,20
quince,6,22,651,67,78,35,104,18
quince,6,24,659,52,70,45,87,19
quince,5,21,689,58,98,34,93,21
quince,5,25,688,56,82,37,82,21
quince,6,21,612,65,73,40,80,19
quince,5,17,624,52,76,43,90,21
quince,5,18,742,64,77,40,97,19
quince,5,18,731,50,68,33,95,19
quince,5,25,615,63,91,31,114,20
quince,6,15,707,58,71,30,81,19
quince,5,18,661,69,94,36,89,20
quince,6,22,671,56,62,45,112,19
quince,5,16,624,58,99,49,94,19
quince,6,15,726,57,86,43,90,21
quince,6,15,697,52,64,32,114,19
quince,5,24,762,64,89,46,85,18
quince,6,20,664,64,92,40,104,18
quince,6,21,731,50,92,32,93,18
quince,6,22,612,52,88,43,118,18
quince,6,16,677,67,69,47,85,19
quince,6,15,793,67,66,35,113,18
quince,6,22,629,68,97,43,104,20
quince,5,25,727,67,99,32,90,20
quince,5,16,665,58,95,34,117,18
quince,5,23,706,54,66,37,101,18
quince,5,23,721,66,90,41,103,21
quince,6,21,670,55,100,42,103,18
quince,5,18,750,53,77,44,91,18
quince,5,24,602,67,62,33,102,20
quince,6,15,787,68,88,41,97,18
quince,5,18,693,58,77,44,86,18
quince,5,24,690,57,83,32,115,18
quince,6,16,650,70,83,45,117,21
quince,5,19,687,54,94,50,107,21
quince,6,24,688,65,79,32,117,19
quince,6,21,645,59,60,45,80,19
quince,5,24,748,56,73,41,92,18
quince,5,17,635,64,97,33,90,18
quince,6,20,762,65,99,30,119,18
quince,6,20,606,50,69,43,110,21
quince,5,25,767,54,74,40,116,21
quince,6,23,633,59,78,43,113,18
quince,5,19,719,68,94,50,106,21
quince,5,16,634,51,73,42,87,19
quince,5,18,671,59,100,41,96,19
quince,6,22,729,64,88,34,106,20
quince,5,21,759,68,92,40,112,18
quince,5,18,628,56,85,43,84,19
quince,6,18,689,60,99,41,112,21
quince,5,16,684,64,95,33,110,19
quince,5,21,742,65,88,41,105,21
quince,5,19,745,56,84,32,118,21
quince,6,20,620,68,100,44,108,20
quince,5,20,664,55,75,43,101,19
quince,6,24,640,65,95,42,113,18
quince,5,17,671,61,86,37,106,18
quince,6,20,648,52,75,49,95,19
quince,6,24,606,55,84,43,104,21
quince,5,18,707,52,76,38,113,21
quince,6,24,673,69,68,30,112,21
quince,5,24,633,69,85,36,120,19
quince,5,23,617,64,67,38,107,21
quince,6,25,615,57,94,41,99,19
quince,5,20,750,55,74,34,96,18
quince,5,21,668,57,98,32,85,19
quince,6,23,744,59,91,46,119,20
quince,5,16,737,58,80,46,120,19
quince,5,17,702,51,79,43,114,18
quince,5,23,736,59,95,38,92,18
quince,5,23,757,66,64,35,109,20
quince,6,23,753,62,98,33,87,20
quince,6,20,737,59,83,32,112,21
quince,6,24,794,59,80,45,84,19
quince,5,23,700,69,65,41,86,18
quince,5,17,613,67,71,49,108,20
quince,5,22,800,61,61,36,118,21
quince,5,20,718,55,81,34,109,21
quince,6,19,669,55,81,49,111,19
quince,5,15,621,54,68,34,86,21
quince,6,24,600,53,91,48,81,21
quince,5,15,753,58,100,31,92,18
quince,5,15,608,55,78,46,114,20
quince,5,16,797,70,77,38,96,21
quince,6,25,671,51,65,46,90,19
quince,5,17,611,69,62,35,106,18
quince,5,21,665,58,95,46,91,19
quince,5,15,657,65,75,49,120,21
quince,5,16,626,63,85,45,98,20
quince,5,16,701,59,62,34,94,20
quince,6,19,656,57,72,46,120,19
quince,6,17,715,50,69,35,93,18
quince,6,16,766,69,76,35,98,21
quince,5,23,762,56,80,47,81,20
quince,6,20,729,65,66,37,91,20
quince,5,15,797,54,87,42,90,21
quince,5,24,613,59,91,35,105,18
quince,6,19,634,62,82,50,105,19
quince,6,25,723,70,72,50,109,20
quince,6,16,714,61,85,43,119,19
quince,5,18,680,70,97,39,118,18
quince,6,18,634,52,68,39,99,21
quince,5,18,646,53,83,42,84,18
quince,5,22,695,53,75,32,109,21
quince,5,16,757,62,70,37,92,19
quince,5,15,649,62,76,36,88,19
quince,5,15,703,67,60,39,111,20
quince,5,23,713,70,94,45,114,21
quince,6,23,637,67,86,45,83,19
quince,6,18,696,62,67,33,92,19
quince,5,20,605,62,91,41,93,21
quince,6,22,687,53,80,31,96,21
quince,6,17,639,52,66,49,103,19
quince,5,17,772,57,86,38,83,20
quince,5,25,747,58,95,48,92,20
quince,5,20,747,56,96,42,100,19
quince,6,15,708,66,63,44,112,19
quince,6,18,754,66,74,34,97,18
quince,6,20,691,70,81,50,107,18
quince,5,15,691,61,85,37,99,19
quince,6,19,634,51,85,47,94,21
quince,6,16,634,62,86,30,106,21
quince,5,16,781,57,77,38,91,19
quince,5,25,665,63,98,44,114,18
quince,6,16,605,54,91,50,101,18
quince,5,23,764,69,65,46,120,21
quince,5,16,691,51,99,49,108,19
quince,6,16,774,50,79,43,117,20
quince,6,18,786,64,74,30,100,20
quince,6,22,786,51,90,49,109,21
quince,5,25,763,50,100,35,97,19
quince,5,16,789,67,69,40,109,19
quince,5,20,718,70,77,32,83,20
quince,6,15,736,63,76,33,91,18
quince,5,20,724,64,67,38,81,18
quince,6,22,626,51,89,42,102,18
quince,5,25,618,51,82,30,110,20
quince,5,19,733,50,73,36,88,19
quince,5,20,648,61,95,35,103,18
quince,5,15,600,63,86,42,117,19
quince,6,17,603,52,66,36,110,21
quince,5,24,622,68,66,43,106,21
quince,5,15,745,62,74,47,93,19
quince,5,19,725,51,97,43,117,20
quince,5,21,667,66,89,50,94,18
quince,6,23,704,60,96,41,100,19
